#trial,#choice,#win,#loss
1,2,0,0
2,1,1,0
3,1,0,1
4,2,1,0
5,3,1,0
6,1,1,1
7,3,0,1
8,3,0,1
9,3,1,0
10,3,1,0
11,3,0,1
12,2,1,0
13,3,1,1
14,1,1,0
15,1,0,0
16,2,0,0
17,1,1,0
18,1,0,0
19,1,0,1
20,3,0,1
21,3,0,1
22,3,0,1
23,2,0,0
24,2,1,1
25,1,1,0
26,3,0,1
27,2,0,1
28,1,0,1
29,2,0,0
30,2,0,0
31,3,0,0
32,1,0,0
33,1,0,0
34,2,0,0
35,3,0,1
36,2,0,0
37,1,0,0
38,2,0,1
39,2,0,0
40,3,0,1
41,1,0,1
42,1,0,1
43,3,1,1
44,3,0,1
45,2,0,1
46,2,0,0
47,2,0,0
48,1,0,1
49,2,0,1
50,1,0,0
51,3,1,0
52,1,0,1
53,1,0,1
54,3,1,1
55,3,1,0
56,3,1,0
57,3,1,0
58,3,1,0
59,3,1,0
60,3,0,0
61,3,0,1
62,2,0,0
63,3,1,1
64,3,1,0
65,3,1,0
66,1,0,0
67,3,1,0
68,2,0,0
69,2,0,0
70,3,1,0
71,3,1,1
72,1,0,1
73,3,0,1
74,3,1,1
75,3,1,0
76,3,0,0
77,3,1,0
78,2,0,1
79,2,0,1
80,3,0,0
81,3,1,1
82,3,1,1
83,3,0,1
84,3,1,1
85,1,0,0
86,1,1,1
87,3,1,1
88,3,1,1
89,3,1,1
90,3,1,0
91,3,1,0
92,2,0,1
93,3,1,0
94,3,1,0
95,3,1,0
96,3,1,1
97,3,1,1
98,3,1,0
99,3,1,1
100,3,1,0
101,3,1,1
102,3,1,0
103,3,1,0
104,3,1,0
105,3,0,0
106,3,1,1
107,3,1,1
108,3,0,0
109,3,1,1
110,3,1,0
111,3,1,1
112,3,0,1
113,3,1,0
114,3,1,1
115,2,0,0
116,3,0,1
117,3,1,0
118,3,0,1
119,3,1,0
120,3,1,1
121,3,0,1
122,3,0,0
123,3,1,0
124,3,1,1
125,3,1,1
126,3,1,1
127,3,0,1
128,3,1,1
129,2,0,1
130,2,0,1
131,2,1,1
132,2,0,1
133,1,0,1
134,3,1,0
135,3,1,0
136,3,1,1
137,3,0,0
138,3,1,1
139,3,1,0
140,3,0,0
141,3,0,0
142,3,1,1
143,3,1,1
144,3,0,1
145,3,0,1
146,1,0,0
147,1,0,1
148,1,0,0
149,3,1,1
150,3,0,0
151,3,1,1
152,3,1,1
153,3,1,0
154,3,0,0
155,3,1,1
156,3,0,1
157,3,0,1
158,3,0,1
159,1,0,0
160,1,1,1
161,3,0,1
162,1,0,0
163,1,1,1
164,1,1,1
165,1,0,1
166,2,1,0
167,2,0,0
168,2,0,0
169,2,0,0
170,3,1,1
171,3,1,1
172,3,0,1
173,2,1,0
174,2,0,1
175,3,0,1
176,2,0,1
177,2,1,0
178,2,1,1
179,2,1,0
180,2,0,0
181,2,0,1
182,3,0,0
183,3,0,1
184,2,1,0
185,3,0,1
186,2,0,0
187,1,1,1
188,2,1,0
189,2,1,0
190,1,1,0
191,2,1,0
192,1,1,0
193,2,0,1
194,2,1,0
195,1,0,0
196,2,1,0
197,1,1,0
198,2,1,1
199,3,0,1
200,2,1,0
