#trial,#trial-reindx,#choice,#win,#loss,,#WIN,#NEUTRAL,#LOSS
1,1,2,0,0,,0,1,0
2,2,1,1,0,,1,0,0
3,3,1,0,1,,0,0,1
4,4,2,1,0,,1,0,0
5,5,3,1,0,,1,0,0
6,6,1,1,1,,0,1,0
7,7,3,0,1,,0,0,1
8,8,3,0,1,,0,0,1
9,9,3,1,0,,1,0,0
10,10,3,1,0,,1,0,0
11,11,3,0,1,,0,0,1
12,12,2,1,0,,1,0,0
13,13,3,1,1,,0,1,0
14,14,1,1,0,,1,0,0
15,15,1,0,0,,0,1,0
16,16,2,0,0,,0,1,0
17,17,1,1,0,,1,0,0
18,18,1,0,0,,0,1,0
19,19,1,0,1,,0,0,1
20,20,3,0,1,,0,0,1
21,21,3,0,1,,0,0,1
22,22,3,0,1,,0,0,1
23,23,2,0,0,,0,1,0
24,24,2,1,1,,0,1,0
25,25,1,1,0,,1,0,0
26,26,3,0,1,,0,0,1
27,27,2,0,1,,0,0,1
28,28,1,0,1,,0,0,1
29,29,2,0,0,,0,1,0
30,30,2,0,0,,0,1,0
31,31,3,0,0,,0,1,0
32,32,1,0,0,,0,1,0
33,33,1,0,0,,0,1,0
34,34,2,0,0,,0,1,0
35,35,3,0,1,,0,0,1
36,36,2,0,0,,0,1,0
37,37,1,0,0,,0,1,0
38,38,2,0,1,,0,0,1
39,39,2,0,0,,0,1,0
40,40,3,0,1,,0,0,1
41,41,1,0,1,,0,0,1
42,42,1,0,1,,0,0,1
43,43,3,1,1,,0,1,0
45,44,2,0,1,,0,0,1
46,45,2,0,0,,0,1,0
47,46,2,0,0,,0,1,0
48,47,1,0,1,,0,0,1
49,48,2,0,1,,0,0,1
50,49,1,0,0,,0,1,0
51,50,3,1,0,,1,0,0
52,51,1,0,1,,0,0,1
53,52,1,0,1,,0,0,1
54,53,3,1,1,,0,1,0
55,54,3,1,0,,1,0,0
56,55,3,1,0,,1,0,0
57,56,3,1,0,,1,0,0
58,57,3,1,0,,1,0,0
59,58,3,1,0,,1,0,0
60,59,3,0,0,,0,1,0
61,60,3,0,1,,0,0,1
62,61,2,0,0,,0,1,0
63,62,3,1,1,,0,1,0
64,63,3,1,0,,1,0,0
65,64,3,1,0,,1,0,0
66,65,1,0,0,,0,1,0
67,66,3,1,0,,1,0,0
68,67,2,0,0,,0,1,0
69,68,2,0,0,,0,1,0
70,69,3,1,0,,1,0,0
71,70,3,1,1,,0,1,0
72,71,1,0,1,,0,0,1
73,72,3,0,1,,0,0,1
74,73,3,1,1,,0,1,0
75,74,3,1,0,,1,0,0
76,75,3,0,0,,0,1,0
77,76,3,1,0,,1,0,0
78,77,2,0,1,,0,0,1
79,78,2,0,1,,0,0,1
80,79,3,0,0,,0,1,0
81,80,3,1,1,,0,1,0
82,81,3,1,1,,0,1,0
83,82,3,0,1,,0,0,1
84,83,3,1,1,,0,1,0
85,84,1,0,0,,0,1,0
86,85,1,1,1,,0,1,0
87,86,3,1,1,,0,1,0
88,87,3,1,1,,0,1,0
89,88,3,1,1,,0,1,0
90,89,3,1,0,,1,0,0
91,90,3,1,0,,1,0,0
92,91,2,0,1,,0,0,1
93,92,3,1,0,,1,0,0
94,93,3,1,0,,1,0,0
95,94,3,1,0,,1,0,0
96,95,3,1,1,,0,1,0
97,96,3,1,1,,0,1,0
98,97,3,1,0,,1,0,0
99,98,3,1,1,,0,1,0
100,99,3,1,0,,1,0,0
101,100,3,1,1,,0,1,0
102,101,3,1,0,,1,0,0
103,102,3,1,0,,1,0,0
104,103,3,1,0,,1,0,0
105,104,3,0,0,,0,1,0
106,105,3,1,1,,0,1,0
107,106,3,1,1,,0,1,0
108,107,3,0,0,,0,1,0
109,108,3,1,1,,0,1,0
110,109,3,1,0,,1,0,0
111,110,3,1,1,,0,1,0
114,111,3,1,1,,0,1,0
115,112,2,0,0,,0,1,0
116,113,3,0,1,,0,0,1
117,114,3,1,0,,1,0,0
118,115,3,0,1,,0,0,1
119,116,3,1,0,,1,0,0
120,117,3,1,1,,0,1,0
121,118,3,0,1,,0,0,1
122,119,3,0,0,,0,1,0
123,120,3,1,0,,1,0,0
124,121,3,1,1,,0,1,0
125,122,3,1,1,,0,1,0
126,123,3,1,1,,0,1,0
127,124,3,0,1,,0,0,1
128,125,3,1,1,,0,1,0
129,126,2,0,1,,0,0,1
130,127,2,0,1,,0,0,1
131,128,2,1,1,,0,1,0
132,129,2,0,1,,0,0,1
133,130,1,0,1,,0,0,1
134,131,3,1,0,,1,0,0
135,132,3,1,0,,1,0,0
136,133,3,1,1,,0,1,0
137,134,3,0,0,,0,1,0
138,135,3,1,1,,0,1,0
139,136,3,1,0,,1,0,0
140,137,3,0,0,,0,1,0
141,138,3,0,0,,0,1,0
142,139,3,1,1,,0,1,0
143,140,3,1,1,,0,1,0
144,141,3,0,1,,0,0,1
145,142,3,0,1,,0,0,1
146,143,1,0,0,,0,1,0
147,144,1,0,1,,0,0,1
148,145,1,0,0,,0,1,0
150,146,3,0,0,,0,1,0
