trial,#trial begins,#cue,#choice ons,#outcome_ons
1,58.05,59.109,64.435,66.624
2,68.127,68.698,70.166,72.353
3,73.854,74.419,75.812,77.998
4,79.5,80.083,82.364,84.549
5,86.051,86.618,88.053,90.24
6,91.751,92.311,93.589,95.775
7,97.276,97.835,102.711,104.896
8,106.397,106.957,110.067,112.25
9,113.75,114.311,115.627,117.812
10,119.312,119.874,124.048,126.233
11,127.733,128.294,131.885,134.07
12,135.571,136.133,136.47,138.655
13,140.155,140.716,142.235,144.42
14,145.919,146.478,148.642,150.826
15,152.327,152.886,156.441,158.626
16,160.127,160.686,161.482,163.667
17,165.167,165.728,167.297,169.482
18,170.983,171.543,172.077,174.262
19,175.763,176.324,177.15,179.334
20,180.835,181.396,181.863,184.048
21,185.549,186.11,187.054,189.239
22,190.74,191.3,191.532,193.717
23,195.217,195.775,196.14,198.325
24,199.826,200.388,200.594,202.778
25,204.279,204.843,205.562,207.747
26,209.247,209.807,217.388,219.572
27,221.073,221.632,225.421,227.606
28,229.106,229.667,231.216,233.4
29,234.901,235.461,237.881,240.067
30,241.566,242.126,242.387,244.571
31,246.072,246.632,248.091,250.276
32,251.776,252.334,254.943,257.128
33,258.628,259.187,259.51,261.696
34,263.197,263.757,264.821,267.006
35,268.506,269.066,270.506,272.69
36,274.191,274.751,274.955,277.141
37,278.641,279.2,279.768,281.953
38,283.453,284.014,284.407,286.592
39,288.093,288.654,289.81,291.994
40,293.495,294.055,295.407,297.592
41,299.092,299.651,300.192,302.376
42,303.876,304.435,305.389,307.574
43,309.075,309.635,309.905,312.09
44,313.59,314.151,314.152,316.343
45,317.843,318.405,318.786,320.971
46,322.471,323.031,323.422,325.605
47,327.106,327.666,328.145,330.33
48,331.831,332.391,333.811,335.996
49,337.497,338.058,345.492,347.677
50,349.178,349.737,352.633,354.817
51,356.318,356.878,357.747,359.932
52,361.432,361.992,362.595,364.779
53,366.28,366.84,367.725,369.91
54,371.41,371.97,373.34,375.523
55,377.025,377.583,377.91,380.095
56,381.595,382.156,382.418,384.602
57,386.103,386.663,389.524,391.708
58,393.209,393.771,395.919,398.104
59,399.605,400.166,403.418,405.602
60,407.102,407.661,417.651,419.836
61,421.337,421.897,422.704,424.887
62,426.388,426.951,433.416,435.601
63,437.102,437.662,442.944,445.129
64,446.63,447.189,449.499,451.683
65,453.184,453.743,460.549,462.734
66,464.235,464.794,471.353,473.539
67,475.038,475.599,475.847,478.032
68,479.531,480.09,481.232,483.417
69,484.918,485.477,487.166,489.352
70,490.852,491.415,492.965,495.15
71,496.651,497.209,500.562,502.748
72,504.248,504.81,505.304,507.488
73,508.989,509.549,509.81,511.994
74,513.495,514.057,514.15,516.334
75,517.834,518.395,520.418,522.603
76,524.104,524.662,525.258,527.442
77,528.943,529.502,529.956,532.141
78,533.642,534.201,535.341,537.526
79,539.027,539.586,539.852,542.035
80,543.536,544.096,544.543,546.728
81,548.228,548.787,549.957,552.142
82,553.643,554.203,554.558,556.744
83,558.244,558.807,559.026,561.21
84,562.711,563.272,564.047,566.232
85,567.733,568.292,568.955,571.139
86,572.64,573.202,573.799,575.983
87,577.484,578.045,578.739,580.923
88,582.424,582.983,590.576,592.761
89,594.262,594.823,595.517,597.702
90,599.202,599.764,600.035,602.22
91,603.721,604.281,609.861,612.046
92,613.546,614.106,616.187,618.372
93,619.873,620.433,620.755,622.939
94,624.44,625,627.122,629.306
95,630.807,631.365,632.959,635.142
96,636.643,637.203,637.536,639.721
97,641.221,641.782,642.004,644.189
98,645.69,646.253,646.583,648.767
99,650.268,650.829,651.244,653.429
100,654.93,655.489,655.738,657.923
101,659.424,659.986,660.219,662.403
102,663.903,664.463,664.684,666.868
103,668.368,668.929,669.128,671.313
104,672.813,673.375,673.664,675.849
105,677.349,677.91,678.151,680.336
106,681.836,682.395,682.608,684.793
107,686.293,686.853,686.984,689.169
108,690.669,691.229,691.459,693.643
109,695.144,695.703,695.933,698.118
110,699.618,700.178,700.356,702.541
111,704.042,704.6,705.098,707.283
112,708.783,709.343,709.549,711.734
113,713.234,713.794,713.794,715.991
114,717.491,718.051,718.294,720.478
115,721.978,722.538,723.797,725.982
116,727.483,728.043,728.317,730.501
117,732.002,732.561,732.662,734.846
118,736.346,736.905,737.31,739.494
119,740.995,741.554,741.742,743.927
120,745.427,745.987,747.178,749.363
121,750.864,751.422,752.395,754.58
122,756.079,756.64,760.829,763.013
123,764.514,765.075,765.24,767.425
124,768.925,769.487,770.316,772.501
125,774,774.56,775.309,777.494
126,778.994,779.555,780.067,782.251
127,783.752,784.313,784.572,786.757
128,788.258,788.815,788.889,791.074
129,792.575,793.134,793.391,795.577
130,797.078,797.639,797.851,800.035
131,801.535,802.097,802.297,804.483
132,805.983,806.544,806.956,809.142
133,810.642,811.202,811.685,813.871
134,815.37,815.931,816.025,818.209
135,819.71,820.269,820.269,822.459
136,823.959,824.519,824.734,826.918
137,828.419,828.979,829.276,831.461
138,832.962,833.521,833.611,835.795
139,837.295,837.855,838.14,840.326
140,841.827,842.387,842.643,844.828
141,846.329,846.89,847.242,849.426
142,850.927,851.487,851.641,853.825
143,855.325,855.885,856.081,858.266
144,859.767,860.326,860.666,862.851
145,864.351,864.911,865.073,867.258
146,868.759,869.321,869.832,872.016
147,873.517,874.078,874.378,876.562
148,878.062,878.623,879.02,881.204
149,882.704,883.264,883.327,885.512
150,887.013,887.573,887.811,889.995
151,891.496,892.06,894.343,896.528
152,898.028,898.589,899.418,901.602
153,903.102,903.664,904.478,906.664
154,908.164,908.725,911.021,913.204
155,914.705,915.264,915.808,917.992
156,919.493,920.053,921.369,923.554
157,925.055,925.615,927.296,929.481
158,930.981,931.542,931.71,933.895
159,935.395,935.955,936.333,938.517
160,940.017,940.578,940.928,943.113
161,944.613,945.173,946.554,948.739
162,950.24,950.801,951.047,953.231
163,954.732,955.29,955.521,957.705
164,959.205,959.766,960.114,962.298
165,963.799,964.359,964.676,966.862
166,968.362,968.923,969.291,971.476
167,972.977,973.536,973.865,976.051
168,977.55,978.11,978.41,980.595
169,982.096,982.656,984.484,986.669
170,988.17,988.73,989.082,991.267
171,992.767,993.327,993.521,995.705
172,997.205,997.768,998.036,1000.22
173,1001.721,1002.283,1002.284,1004.476
174,1005.976,1006.536,1006.839,1009.023
175,1010.524,1011.085,1011.905,1014.09
176,1015.59,1016.149,1016.431,1018.616
177,1020.117,1020.676,1020.676,1022.876
178,1024.377,1024.94,1025.601,1027.786
179,1029.286,1029.846,1030.866,1033.051
180,1034.551,1035.112,1035.496,1037.681
181,1039.181,1039.743,1040.566,1042.751
182,1044.251,1044.811,1046.831,1049.015
183,1050.515,1051.074,1051.596,1053.781
184,1055.281,1055.84,1056.18,1058.364
185,1059.865,1060.424,1060.528,1062.713
186,1064.213,1064.773,1064.92,1067.104
187,1068.604,1069.164,1069.365,1071.551
188,1073.051,1073.612,1074.272,1076.457
189,1077.957,1078.516,1080.017,1082.202
190,1083.702,1084.264,1084.482,1086.667
191,1088.168,1088.729,1089.48,1091.665
192,1093.165,1093.725,1093.93,1096.115
