#trial begins,#cue,#choice ons,#outcome_ons
0.000,1.059,6.385,8.574
10.077,10.648,12.116,14.303
15.804,16.369,17.762,19.948
21.450,22.033,24.314,26.499
28.001,28.568,30.003,32.19
33.701,34.261,35.539,37.725
39.226,39.785,44.661,46.846
48.347,48.907,52.017,54.2
55.700,56.261,57.577,59.762
61.262,61.824,65.998,68.183
69.683,70.244,73.835,76.02
77.521,78.083,78.420,80.605
82.105,82.666,84.185,86.37
87.869,88.428,90.592,92.776
94.277,94.836,98.391,100.576
102.077,102.636,103.432,105.617
107.117,107.678,109.247,111.432
112.933,113.493,114.027,116.212
117.713,118.274,119.100,121.284
122.785,123.346,123.813,125.998
127.499,128.060,129.004,131.189
132.690,133.250,133.482,135.667
137.167,137.725,138.090,140.275
141.776,142.338,142.544,144.728
146.229,146.793,147.512,149.697
151.197,151.757,159.338,161.522
163.023,163.582,167.371,169.556
171.056,171.617,173.166,175.35
176.851,177.411,179.831,182.017
183.516,184.076,184.337,186.521
188.022,188.582,190.041,192.226
193.726,194.284,196.893,199.078
200.578,201.137,201.460,203.646
205.147,205.707,206.771,208.956
210.456,211.016,212.456,214.64
216.141,216.701,216.905,219.091
220.591,221.150,221.718,223.903
225.403,225.964,226.357,228.542
230.043,230.604,231.760,233.944
235.445,236.005,237.357,239.542
241.042,241.601,242.142,244.326
245.826,246.385,247.339,249.524
251.025,251.585,251.855,254.04
255.540,256.101,256.102,258.293
259.793,260.355,260.736,262.921
264.421,264.981,265.372,267.555
269.056,269.616,270.095,272.28
273.781,274.341,275.761,277.946
279.447,280.008,287.442,289.627
291.128,291.687,294.583,296.767
298.268,298.828,299.697,301.882
303.382,303.942,304.545,306.729
308.230,308.790,309.675,311.86
313.360,313.920,315.290,317.473
318.975,319.533,319.860,322.045
323.545,324.106,324.368,326.552
328.053,328.613,331.474,333.658
335.159,335.721,337.869,340.054
341.555,342.116,345.368,347.552
349.052,349.611,359.601,361.786
363.287,363.847,364.654,366.837
368.338,368.901,375.366,377.551
379.052,379.612,384.894,387.079
388.580,389.139,391.449,393.633
395.134,395.693,402.499,404.684
406.185,406.744,413.303,415.489
416.988,417.549,417.797,419.982
421.481,422.040,423.182,425.367
426.868,427.427,429.116,431.302
432.802,433.365,434.915,437.1
438.601,439.159,442.512,444.698
446.198,446.760,447.254,449.438
450.939,451.499,451.760,453.944
455.445,456.007,456.100,458.284
459.784,460.345,462.368,464.553
466.054,466.612,467.208,469.392
470.893,471.452,471.906,474.091
475.592,476.151,477.291,479.476
480.977,481.536,481.802,483.985
485.486,486.046,486.493,488.678
490.178,490.737,491.907,494.092
495.593,496.153,496.508,498.694
500.194,500.757,500.976,503.16
504.661,505.222,505.997,508.182
509.683,510.242,510.905,513.089
514.590,515.152,515.749,517.933
519.434,519.995,520.689,522.873
524.374,524.933,532.526,534.711
536.212,536.773,537.467,539.652
541.152,541.714,541.985,544.17
545.671,546.231,551.811,553.996
555.496,556.056,558.137,560.322
561.823,562.383,562.705,564.889
566.390,566.950,569.072,571.256
572.757,573.315,574.909,577.092
578.593,579.153,579.486,581.671
583.171,583.732,583.954,586.139
587.640,588.203,588.533,590.717
592.218,592.779,593.194,595.379
596.880,597.439,597.688,599.873
601.374,601.936,602.169,604.353
605.853,606.413,606.634,608.818
610.318,610.879,611.078,613.263
614.763,615.325,615.614,617.799
619.299,619.860,620.101,622.286
623.786,624.345,624.558,626.743
628.243,628.803,628.934,631.119
632.619,633.179,633.409,635.593
637.094,637.653,637.883,640.068
641.568,642.128,642.306,644.491
645.992,646.550,647.048,649.233
650.733,651.293,651.499,653.684
655.184,655.744,655.744,657.941
659.441,660.001,660.244,662.428
663.928,664.488,665.747,667.932
669.433,669.993,670.267,672.451
673.952,674.511,674.612,676.796
678.296,678.855,679.260,681.444
682.945,683.504,683.692,685.877
687.377,687.937,689.128,691.313
692.814,693.372,694.345,696.53
698.029,698.590,702.779,704.963
706.464,707.025,707.190,709.375
710.875,711.437,712.266,714.451
715.950,716.510,717.259,719.444
720.944,721.505,722.017,724.201
725.702,726.263,726.522,728.707
730.208,730.765,730.839,733.024
734.525,735.084,735.341,737.527
739.028,739.589,739.801,741.985
743.485,744.047,744.247,746.433
747.933,748.494,748.906,751.092
752.592,753.152,753.635,755.821
757.320,757.881,757.975,760.159
761.660,762.219,762.219,764.409
765.909,766.469,766.684,768.868
770.369,770.929,771.226,773.411
774.912,775.471,775.561,777.745
779.245,779.805,780.090,782.276
783.777,784.337,784.593,786.778
788.279,788.840,789.192,791.376
792.877,793.437,793.591,795.775
797.275,797.835,798.031,800.216
801.717,802.276,802.616,804.801
806.301,806.861,807.023,809.208
810.709,811.271,811.782,813.966
815.467,816.028,816.328,818.512
820.012,820.573,820.970,823.154
824.654,825.214,825.277,827.462
828.963,829.523,829.761,831.945
833.446,834.010,836.293,838.478
839.978,840.539,841.368,843.552
845.052,845.614,846.428,848.614
850.114,850.675,852.971,855.154
856.655,857.214,857.758,859.942
861.443,862.003,863.319,865.504
867.005,867.565,869.246,871.431
872.931,873.492,873.660,875.845
877.345,877.905,878.283,880.467
881.967,882.528,882.878,885.063
886.563,887.123,888.504,890.689
892.190,892.751,892.997,895.181
896.682,897.240,897.471,899.655
901.155,901.716,902.064,904.248
905.749,906.309,906.626,908.812
910.312,910.873,911.241,913.426
914.927,915.486,915.815,918.001
919.500,920.060,920.360,922.545
924.046,924.606,926.434,928.619
930.120,930.680,931.032,933.217
934.717,935.277,935.471,937.655
939.155,939.718,939.986,942.17
943.671,944.233,944.234,946.426
947.926,948.486,948.789,950.973
952.474,953.035,953.855,956.04
957.540,958.099,958.381,960.566
962.067,962.626,962.626,964.826
966.327,966.890,967.551,969.736
971.236,971.796,972.816,975.001
976.501,977.062,977.446,979.631
981.131,981.693,982.516,984.701
986.201,986.761,988.781,990.965
992.465,993.024,993.546,995.731
997.231,997.790,998.130,1000.314
1001.815,1002.374,1002.478,1004.663
1006.163,1006.723,1006.870,1009.054
1010.554,1011.114,1011.315,1013.501
1015.001,1015.562,1016.222,1018.407
1019.907,1020.466,1021.967,1024.152
1025.652,1026.214,1026.432,1028.617
1030.118,1030.679,1031.430,1033.615
1035.115,1035.675,1035.880,1038.065
1039.566,1040.126,1040.390,1042.575
1044.076,1044.635,1044.904,1047.088
1048.588,1049.148,1049.246,1051.431
1052.932,1053.491,1053.547,1055.732
1057.233,1057.792,1057.912,1060.097
1061.597,1062.156,1062.424,1064.61
1066.110,1066.670,1066.670,1068.858
1070.358,1070.918,1071.093,1073.279
